batter,matches,innings,total_runs,balls_faced,fours,sixes,dot_balls,ones,twos,threes,strike_rate,batting_average,boundary_pct,dot_ball_pct,fifties,hundreds,highest_score,powerplay_runs,powerplay_balls,powerplay_fours,powerplay_sixes,powerplay_sr,middle_runs,middle_balls,middle_fours,middle_sixes,middle_sr,death_runs,death_balls,death_fours,death_sixes,death_sr
V Nigam,8,8,142,82,16,8,30,26,2,0,173.17,17.75,29.27,36.59,0,0,39,20.0,8.0,3.0,1.0,250.0,53.0,34.0,5.0,3.0,155.88,69.0,40.0,8.0,4.0,172.5
V Pratap Singh,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
V Sehwag,104,104,2728,1833,334,106,737,558,96,2,148.83,26.23,24.0,40.21,16,2,122,1593.0,1160.0,230.0,46.0,137.33,1062.0,638.0,96.0,55.0,166.46,73.0,35.0,8.0,5.0,208.57
V Shankar,63,63,1233,985,88,48,339,428,81,1,125.18,19.57,13.81,34.42,7,0,69,127.0,134.0,16.0,2.0,94.78,591.0,526.0,41.0,16.0,112.36,515.0,325.0,31.0,30.0,158.46
V Suryavanshi,7,7,252,129,18,24,53,32,2,0,195.35,36.0,32.56,41.09,1,1,101,144.0,76.0,11.0,14.0,189.47,108.0,53.0,7.0,10.0,203.77,0.0,0.0,0.0,0.0,0.0
V Viyaskanth,1,1,7,5,0,0,0,4,0,1,140.0,7.0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,140.0
VG Arora,9,9,9,25,0,0,17,7,1,0,36.0,1.0,0.0,68.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,50.0
VH Zol,2,2,29,26,3,1,13,7,2,0,111.54,14.5,15.38,50.0,0,0,16,22.0,21.0,2.0,1.0,104.76,7.0,5.0,1.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
VR Aaron,12,12,50,73,2,2,43,22,4,0,68.49,4.17,5.48,58.9,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,72.0,2.0,2.0,69.44
VR Iyer,56,56,1468,1107,136,65,448,386,70,1,132.61,26.21,18.16,40.47,12,1,104,596.0,473.0,70.0,25.0,126.0,728.0,542.0,51.0,33.0,134.32,144.0,92.0,15.0,7.0,156.52
VRV Singh,2,2,4,3,1,0,2,0,0,0,133.33,2.0,33.33,66.67,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,133.33
VS Malik,2,2,7,7,1,0,3,3,0,0,100.0,3.5,14.29,42.86,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,100.0
VS Yeligati,1,1,2,2,0,0,1,0,1,0,100.0,2.0,0.0,50.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0
VVS Laxman,20,20,282,271,33,5,123,100,10,0,104.06,14.1,14.02,45.39,1,0,52,187.0,191.0,24.0,4.0,97.91,92.0,74.0,9.0,1.0,124.32,3.0,6.0,0.0,0.0,50.0
VY Mahesh,5,5,15,28,0,0,15,11,2,0,53.57,3.0,0.0,53.57,0,0,6,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,37.5,12.0,20.0,0.0,0.0,60.0
Vijaykumar Vyshak,4,4,14,13,0,1,5,6,1,0,107.69,3.5,7.69,38.46,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1.0,107.69
Virat Singh,2,2,15,26,1,0,14,11,0,0,57.69,7.5,3.85,53.85,0,0,11,0.0,2.0,0.0,0.0,0.0,15.0,24.0,1.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
Vishnu Vinod,6,6,56,58,3,3,27,24,1,0,96.55,9.33,10.34,46.55,0,0,30,10.0,21.0,1.0,0.0,47.62,34.0,26.0,2.0,2.0,130.77,12.0,11.0,0.0,1.0,109.09
Vivrant Sharma,1,1,69,49,9,2,18,19,1,0,140.82,69.0,22.45,36.73,1,0,69,27.0,24.0,5.0,0.0,112.5,42.0,25.0,4.0,2.0,168.0,0.0,0.0,0.0,0.0,0.0
W Jaffer,8,8,130,129,14,3,64,41,6,1,100.78,16.25,13.18,49.61,1,0,50,77.0,95.0,9.0,1.0,81.05,53.0,34.0,5.0,2.0,155.88,0.0,0.0,0.0,0.0,0.0
WA Mota,8,8,56,76,2,0,30,40,4,0,73.68,7.0,2.63,39.47,0,0,25,0.0,0.0,0.0,0.0,0.0,33.0,48.0,1.0,0.0,68.75,23.0,28.0,1.0,0.0,82.14
WD Parnell,13,13,65,86,4,1,43,33,5,0,75.58,5.0,5.81,50.0,0,0,16,11.0,15.0,2.0,0.0,73.33,5.0,8.0,0.0,0.0,62.5,49.0,63.0,2.0,1.0,77.78
WG Jacks,19,19,463,306,38,29,113,115,11,0,151.31,24.37,21.9,36.93,2,1,100,190.0,128.0,20.0,10.0,148.44,244.0,172.0,17.0,15.0,141.86,29.0,6.0,1.0,4.0,483.33
WP Saha,143,143,2934,2368,296,87,935,878,166,6,123.9,20.52,16.17,39.48,13,1,115,1389.0,1081.0,191.0,41.0,128.49,988.0,925.0,65.0,22.0,106.81,557.0,362.0,40.0,24.0,153.87
WPUJC Vaas,11,11,81,73,2,3,24,33,11,0,110.96,7.36,6.85,32.88,0,0,20,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.0,1.0,110.0,59.0,53.0,2.0,2.0,111.32
Washington Sundar,43,43,511,426,42,16,159,175,30,4,119.95,11.88,13.62,37.32,0,0,49,40.0,35.0,3.0,2.0,114.29,190.0,184.0,15.0,4.0,103.26,281.0,207.0,24.0,10.0,135.75
