batter,matches,innings,total_runs,balls_faced,fours,sixes,dot_balls,ones,twos,threes,strike_rate,batting_average,boundary_pct,dot_ball_pct,fifties,hundreds,highest_score,powerplay_runs,powerplay_balls,powerplay_fours,powerplay_sixes,powerplay_sr,middle_runs,middle_balls,middle_fours,middle_sixes,middle_sr,death_runs,death_balls,death_fours,death_sixes,death_sr
X Thalaivan Sargunam,1,1,10,17,0,0,9,6,2,0,58.82,10.0,0.0,52.94,0,0,10,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,57.14,2.0,3.0,0.0,0.0,66.67
XC Bartlett,1,1,11,15,1,0,7,7,0,0,73.33,11.0,6.67,46.67,0,0,11,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,0.0,71.43,1.0,1.0,0.0,0.0,100.0
Y Gnaneswara Rao,1,1,19,18,3,0,9,5,1,0,105.56,19.0,16.67,50.0,0,0,19,15.0,13.0,2.0,0.0,115.38,4.0,5.0,1.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
Y Nagar,20,20,285,271,20,9,113,109,18,2,105.17,14.25,10.7,41.7,0,0,44,2.0,3.0,0.0,0.0,66.67,104.0,133.0,5.0,1.0,78.2,179.0,135.0,15.0,8.0,132.59
Y Prithvi Raj,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Y Venugopal Rao,52,52,985,865,77,37,355,341,53,1,113.87,18.94,13.18,41.04,3,0,71,76.0,102.0,9.0,0.0,74.51,522.0,503.0,36.0,20.0,103.78,387.0,260.0,32.0,17.0,148.85
YA Abdulla,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
YBK Jaiswal,66,66,2166,1454,259,92,593,448,56,6,148.97,32.82,24.14,40.78,15,2,124,1378.0,892.0,194.0,58.0,154.48,700.0,518.0,56.0,28.0,135.14,88.0,44.0,9.0,6.0,200.0
YK Pathan,153,153,3222,2334,263,161,872,877,156,5,138.05,21.06,18.17,37.36,13,1,100,361.0,256.0,47.0,16.0,141.02,1735.0,1346.0,123.0,89.0,128.9,1126.0,732.0,93.0,56.0,153.83
YS Chahal,17,17,37,89,0,0,57,28,3,1,41.57,2.18,0.0,64.04,0,0,8,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,17.39,33.0,66.0,0.0,0.0,50.0
YV Dhull,3,3,16,23,1,0,10,12,0,0,69.57,5.33,4.35,43.48,0,0,13,2.0,9.0,0.0,0.0,22.22,14.0,14.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,10,10,192,183,26,3,100,41,12,0,104.92,19.2,15.85,54.64,0,0,45,121.0,137.0,19.0,1.0,88.32,42.0,33.0,3.0,1.0,127.27,29.0,13.0,4.0,1.0,223.08
Yash Dayal,4,4,4,9,0,0,6,2,1,0,44.44,1.0,0.0,66.67,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,50.0
Yashpal Singh,4,4,47,67,5,0,39,20,2,1,70.15,11.75,7.46,58.21,0,0,20,17.0,37.0,2.0,0.0,45.95,13.0,17.0,0.0,0.0,76.47,17.0,13.0,3.0,0.0,130.77
Younis Khan,1,1,3,7,0,0,4,3,0,0,42.86,3.0,0.0,57.14,0,0,3,3.0,7.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yudhvir Singh,4,4,22,16,1,2,8,4,1,0,137.5,5.5,18.75,50.0,0,0,14,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,50.0,20.0,12.0,1.0,2.0,166.67
Yuvraj Singh,126,126,2754,2207,218,149,977,741,119,3,124.78,21.86,16.63,44.27,13,0,83,193.0,197.0,26.0,5.0,97.97,1655.0,1475.0,130.0,76.0,112.2,906.0,535.0,62.0,68.0,169.35
Z Khan,27,27,117,141,11,2,74,47,7,0,82.98,4.33,9.22,52.48,0,0,23,0.0,3.0,0.0,0.0,0.0,9.0,29.0,0.0,0.0,31.03,108.0,109.0,11.0,2.0,99.08
