team1_recent_wins,team1_recent_losses,team1_recent_win_pct,team1_recent_avg_margin,team1_recent_matches,team2_recent_wins,team2_recent_losses,team2_recent_win_pct,team2_recent_avg_margin,team2_recent_matches,form_win_pct_diff,team1_season_matches_played,team1_season_wins,team1_season_losses,team1_season_points,team1_season_win_pct,team2_season_matches_played,team2_season_wins,team2_season_losses,team2_season_points,team2_season_win_pct,points_diff,h2h_matches,h2h_win_pct_team1,h2h_win_pct_team2,venue_avg_first_innings_runs,team1_venue_win_pct,team2_venue_win_pct,venue_win_pct_diff,toss_winner_is_team1,toss_decision_bat,team1_top_batter_form_avg,team1_top_bowler_form_avg,team2_top_batter_form_avg,team2_top_bowler_form_avg,match_number_in_season,team1_won,winner,match_id,date,team1,team2
3,2,0.6,66.67,5,3,2,0.6,57.33,5,0.0,16,10,6,20,0.625,16,10,6,20,0.625,0,7,0.4286,0.5714,168.06153846153848,0.3571,1.0,-0.6429,0,0,108.81,118.82,97.94,196.43,32,0,Mumbai Indians,501205,2011-04-12,Royal Challengers Bengaluru,Mumbai Indians
2,3,0.4,65.0,5,4,1,0.8,30.5,5,-0.4,14,7,7,14,0.5,16,11,5,22,0.6875,-8,7,0.0,0.8571,163.28571428571428,0.5833,1.0,-0.41669999999999996,1,0,123.49,133.15,105.11,133.4,30,1,Punjab Kings,501206,2011-04-13,Punjab Kings,Chennai Super Kings
1,0,1.0,70.0,1,0,1,0.0,0.0,1,1.0,14,4,10,8,0.2857,14,6,8,12,0.4286,-4,0,0.5,0.5,146.64705882352942,1.0,0.5,0.5,0,1,98.54,10.75,103.77,136.17,28,1,Pune Warriors,501207,2011-04-13,Pune Warriors,Kochi Tuskers Kerala
1,4,0.2,11.0,5,2,3,0.4,75.0,5,-0.2,14,6,8,12,0.4286,16,10,6,20,0.625,-8,8,0.5,0.5,156.14285714285714,0.0,1.0,-1.0,0,0,98.49,126.76,106.53,126.32,30,1,Deccan Chargers,501208,2011-04-14,Deccan Chargers,Royal Challengers Bengaluru
2,3,0.4,70.0,5,3,2,0.6,59.67,5,-0.19999999999999996,13,6,7,12,0.4615,15,8,7,16,0.5333,-4,6,0.5,0.3333,157.68085106382978,0.8182,0.0,0.8182,0,0,104.44,165.24,118.11,120.17,28,0,Kolkata Knight Riders,501209,2011-04-15,Rajasthan Royals,Kolkata Knight Riders
3,2,0.6,68.33,5,0,2,0.0,0.0,2,0.6,16,10,6,20,0.625,14,6,8,12,0.4286,8,0,0.5,0.5,166.02739726027397,0.5,0.5,0.0,0,0,105.87,211.64,112.49,120.68,30,0,Kochi Tuskers Kerala,501210,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala
1,4,0.2,33.0,5,2,3,0.4,65.0,5,-0.2,14,6,8,12,0.4286,14,7,7,14,0.5,-2,6,0.3333,0.6667,156.14285714285714,0.1111,1.0,-0.8889,0,0,98.49,127.43,124.19,132.97,28,0,Punjab Kings,501212,2011-04-16,Deccan Chargers,Punjab Kings
4,1,0.8,30.5,5,2,3,0.4,75.0,5,0.4,16,11,5,22,0.6875,16,10,6,20,0.625,2,7,0.4286,0.5714,166.02083333333334,0.5333,0.5,0.033299999999999996,1,1,103.16,117.19,112.34,126.32,32,1,Chennai Super Kings,501211,2011-04-16,Chennai Super Kings,Royal Challengers Bengaluru
2,0,1.0,55.0,2,1,4,0.2,60.0,5,0.8,14,4,10,8,0.2857,14,4,10,8,0.2857,0,0,0.5,0.5,146.64705882352942,1.0,0.0,1.0,0,0,110.95,37.34,113.84,149.8,28,0,Delhi Capitals,501213,2011-04-17,Pune Warriors,Delhi Capitals
4,1,0.8,67.25,5,2,3,0.4,70.0,5,0.4,15,8,7,16,0.5333,13,6,7,12,0.4615,4,7,0.4286,0.4286,160.1818181818182,0.6667,0.5,0.16669999999999996,1,0,125.56,112.89,101.25,158.13,28,1,Kolkata Knight Riders,501214,2011-04-17,Kolkata Knight Riders,Rajasthan Royals
1,2,0.3333,80.0,3,4,1,0.8,20.75,5,-0.46670000000000006,14,6,8,12,0.4286,16,11,5,22,0.6875,-10,0,0.5,0.5,146.8,0.0,0.5,-0.5,1,0,125.79,96.95,106.03,117.56,30,1,Kochi Tuskers Kerala,501215,2011-04-18,Kochi Tuskers Kerala,Chennai Super Kings
2,3,0.4,45.0,5,1,4,0.2,33.0,5,0.2,14,4,10,8,0.2857,14,6,8,12,0.4286,-4,7,0.5714,0.4286,161.63333333333333,0.5,0.5,0.0,0,1,117.92,149.8,98.48,112.63,28,0,Deccan Chargers,501216,2011-04-19,Delhi Capitals,Deccan Chargers
3,2,0.6,68.33,5,2,1,0.6667,55.0,3,-0.06669999999999998,16,10,6,20,0.625,14,4,10,8,0.2857,12,0,0.5,0.5,166.02739726027397,0.4,0.5,-0.09999999999999998,0,1,113.65,188.17,110.83,67.03,30,1,Mumbai Indians,501218,2011-04-20,Mumbai Indians,Pune Warriors
4,1,0.8,67.25,5,2,2,0.5,75.0,4,0.30000000000000004,15,8,7,16,0.5333,14,6,8,12,0.4286,4,0,0.5,0.5,160.1818181818182,0.6875,0.5,0.1875,1,0,123.34,119.32,131.17,103.8,29,0,Kochi Tuskers Kerala,501219,2011-04-20,Kolkata Knight Riders,Kochi Tuskers Kerala
