bowler,matches,total_balls,runs_conceded,wickets,wides,noballs,dot_balls,fours_conceded,sixes_conceded,legal_balls,overs,economy,bowling_average,bowling_strike_rate,dot_ball_pct,powerplay_runs_conceded,powerplay_wickets,powerplay_balls,powerplay_legal_balls,powerplay_economy,middle_runs_conceded,middle_wickets,middle_balls,middle_legal_balls,middle_economy,death_runs_conceded,death_wickets,death_balls,death_legal_balls,death_economy,best_wickets,best_runs_in_best
Navdeep Saini,31,682,968,26,21,9,272,103,38,652,108.4,8.91,37.23,25.08,39.88,400.0,9.0,292.0,282.0,8.51,288.0,5.0,202.0,192.0,9.0,280.0,12.0,188.0,178.0,9.44,3,40
Naveen-ul-Haq,17,407,602,26,15,5,133,54,24,387,64.3,9.33,23.15,14.88,32.68,232.0,6.0,145.0,144.0,9.67,104.0,8.0,88.0,84.0,7.43,266.0,12.0,174.0,159.0,10.04,4,39
Nithish Kumar Reddy,12,152,255,8,11,2,38,16,17,139,23.1,11.01,31.88,17.38,25.0,28.0,0.0,19.0,18.0,9.33,149.0,2.0,95.0,90.0,9.93,78.0,6.0,38.0,31.0,15.1,3,28
Noor Ahmad,37,827,1088,48,31,4,273,77,45,792,132.0,8.24,22.67,16.5,33.01,77.0,2.0,56.0,54.0,8.56,833.0,33.0,634.0,611.0,8.18,178.0,13.0,137.0,127.0,8.41,4,22
O Thomas,4,63,85,5,1,2,17,9,1,60,10.0,8.5,17.0,12.0,26.98,58.0,2.0,37.0,36.0,9.67,9.0,1.0,12.0,12.0,4.5,18.0,2.0,14.0,12.0,9.0,2,30
OC McCoy,8,180,255,11,17,2,49,20,9,161,26.5,9.5,23.18,14.64,27.22,14.0,0.0,12.0,12.0,7.0,144.0,3.0,97.0,84.0,10.29,97.0,8.0,71.0,65.0,8.95,3,23
OF Smith,6,95,179,7,4,1,35,12,16,90,15.0,11.93,25.57,12.86,36.84,21.0,1.0,18.0,18.0,7.0,112.0,2.0,57.0,54.0,12.44,46.0,4.0,20.0,18.0,15.33,4,30
P Amarnath,6,132,241,7,0,0,29,29,7,132,22.0,10.95,34.43,18.86,21.97,12.0,0.0,6.0,6.0,12.0,189.0,6.0,108.0,108.0,10.5,40.0,1.0,18.0,18.0,13.33,2,30
P Awana,33,774,1046,43,23,4,293,107,35,747,124.3,8.4,24.33,17.37,37.86,363.0,14.0,276.0,270.0,8.07,370.0,13.0,315.0,306.0,7.25,313.0,16.0,183.0,171.0,10.98,4,34
P Dubey,5,79,112,2,1,0,23,10,5,78,13.0,8.62,56.0,39.0,29.11,0.0,0.0,0.0,0.0,0.0,101.0,2.0,73.0,72.0,8.42,11.0,0.0,6.0,6.0,11.0,1,19
P Kumar,119,2637,3342,102,112,1,1075,338,104,2524,420.4,7.94,32.76,24.75,40.77,1813.0,44.0,1642.0,1572.0,6.92,471.0,15.0,371.0,360.0,7.85,1058.0,43.0,624.0,592.0,10.72,3,24
P Negi,42,733,954,38,17,0,237,57,47,716,119.2,7.99,25.11,18.84,32.33,64.0,3.0,42.0,42.0,9.14,738.0,26.0,606.0,594.0,7.45,152.0,9.0,85.0,80.0,11.4,4,18
P Parameswaran,8,159,226,9,4,1,64,23,10,154,25.4,8.81,25.11,17.11,40.25,65.0,2.0,37.0,36.0,10.83,97.0,2.0,81.0,79.0,7.37,64.0,5.0,41.0,39.0,9.85,3,30
P Prasanth,1,6,18,0,0,0,3,0,3,6,1.0,18.0,999.0,999.0,50.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0,18
P Ray Barman,1,24,56,0,0,0,2,3,4,24,4.0,14.0,999.0,999.0,8.33,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,18.0,12.0,20.0,0.0,6.0,6.0,20.0,0,56
P Sahu,5,107,152,3,2,0,24,11,5,105,17.3,8.69,50.67,35.0,22.43,11.0,0.0,7.0,6.0,11.0,110.0,3.0,82.0,81.0,8.15,31.0,0.0,18.0,18.0,10.33,2,18
P Suyal,5,107,154,2,7,4,36,16,5,96,16.0,9.62,77.0,48.0,33.64,93.0,1.0,65.0,60.0,9.3,18.0,1.0,15.0,12.0,9.0,43.0,0.0,27.0,24.0,10.75,1,22
PC Valthaty,10,153,207,7,2,0,44,15,7,151,25.1,8.23,29.57,21.57,28.76,0.0,0.0,0.0,0.0,0.0,176.0,5.0,133.0,132.0,8.0,31.0,2.0,20.0,19.0,9.79,4,29
PD Collingwood,6,90,101,5,1,0,24,4,3,89,14.5,6.81,20.2,17.8,26.67,0.0,0.0,0.0,0.0,0.0,80.0,2.0,67.0,66.0,7.27,21.0,3.0,23.0,23.0,5.48,2,19
PH Solanki,2,36,39,2,0,0,11,1,2,36,6.0,6.5,19.5,18.0,30.56,0.0,0.0,0.0,0.0,0.0,24.0,1.0,24.0,24.0,6.0,15.0,1.0,12.0,12.0,7.5,2,21
PHKD Mendis,4,42,60,2,0,0,11,4,3,42,7.0,8.57,30.0,21.0,26.19,0.0,0.0,0.0,0.0,0.0,60.0,2.0,42.0,42.0,8.57,0.0,0.0,0.0,0.0,0.0,1,4
PJ Cummins,72,1682,2436,82,63,2,578,225,100,1617,269.3,9.04,29.71,19.72,34.36,1017.0,28.0,721.0,696.0,8.77,635.0,25.0,491.0,474.0,8.04,784.0,29.0,470.0,447.0,10.52,4,34
PJ Sangwan,42,905,1267,44,43,6,319,127,43,856,142.4,8.88,28.8,19.45,35.25,521.0,16.0,379.0,354.0,8.83,524.0,19.0,387.0,366.0,8.59,222.0,9.0,139.0,136.0,9.79,3,28
PM Sarvesh Kumar,2,31,42,1,1,0,11,7,0,30,5.0,8.4,42.0,30.0,35.48,8.0,0.0,7.0,6.0,8.0,34.0,1.0,24.0,24.0,8.5,0.0,0.0,0.0,0.0,0.0,1,18
PP Chawla,191,3895,5179,201,43,2,1325,374,222,3850,641.4,8.07,25.77,19.15,34.02,576.0,21.0,443.0,437.0,7.91,3946.0,139.0,3000.0,2969.0,7.97,657.0,41.0,452.0,444.0,8.88,4,28
PP Ojha,90,1945,2399,99,44,2,667,146,97,1899,316.3,7.58,24.23,19.18,34.29,324.0,7.0,243.0,240.0,8.1,1617.0,66.0,1405.0,1373.0,7.07,458.0,26.0,297.0,286.0,9.61,4,30
PV Tambe,33,674,866,28,14,0,204,64,28,660,110.0,7.87,30.93,23.57,30.27,114.0,3.0,80.0,78.0,8.77,609.0,20.0,515.0,504.0,7.25,143.0,5.0,79.0,78.0,11.0,4,20
PVD Chameera,19,408,640,15,21,3,146,65,30,384,64.0,10.0,42.67,25.6,35.78,314.0,7.0,204.0,192.0,9.81,129.0,1.0,93.0,90.0,8.6,197.0,7.0,111.0,102.0,11.59,3,48
PVSN Raju,2,29,54,2,5,0,3,4,3,24,4.0,13.5,27.0,12.0,10.34,13.0,0.0,7.0,6.0,13.0,12.0,0.0,6.0,6.0,12.0,29.0,2.0,16.0,12.0,14.5,2,41
PWA Mulder,1,6,16,0,0,0,1,2,1,6,1.0,16.0,999.0,999.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,6.0,16.0,0,16
PWH de Silva,37,808,1134,47,10,0,264,65,70,798,133.0,8.53,24.13,16.98,32.67,99.0,4.0,60.0,60.0,9.9,865.0,31.0,626.0,618.0,8.4,170.0,12.0,122.0,120.0,8.5,5,19
Pankaj Singh,17,311,472,11,10,1,111,52,17,300,50.0,9.44,42.91,27.27,35.69,195.0,8.0,155.0,150.0,7.8,167.0,2.0,105.0,102.0,9.82,110.0,1.0,51.0,48.0,13.75,2,31
Parvez Rasool,11,200,273,4,2,0,60,22,11,198,33.0,8.27,68.25,49.5,30.0,101.0,1.0,66.0,66.0,9.18,172.0,3.0,134.0,132.0,7.82,0.0,0.0,0.0,0.0,0.0,1,24
Prince Yadav,6,144,226,5,7,0,42,21,10,137,22.5,9.9,45.2,27.4,29.17,33.0,0.0,24.0,24.0,8.25,114.0,3.0,85.0,78.0,8.77,79.0,2.0,35.0,35.0,13.54,2,29
R Ashwin,217,4868,5721,205,154,4,1606,334,221,4710,785.0,7.29,27.91,22.98,32.99,1502.0,54.0,1291.0,1252.0,7.2,3385.0,111.0,2951.0,2857.0,7.11,834.0,40.0,626.0,601.0,8.33,5,25
R Bhatia,91,1661,2059,82,23,2,436,120,68,1636,272.4,7.55,25.11,19.95,26.25,25.0,0.0,12.0,12.0,12.5,1698.0,61.0,1413.0,1393.0,7.31,336.0,21.0,236.0,231.0,8.73,4,17
R Dhawan,36,693,922,27,28,3,205,71,27,662,110.2,8.36,34.15,24.52,29.58,221.0,5.0,160.0,156.0,8.5,533.0,18.0,432.0,414.0,7.72,168.0,4.0,101.0,92.0,10.96,2,26
R Goyal,1,24,34,0,0,0,6,1,2,24,4.0,8.5,999.0,999.0,25.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,24.0,24.0,8.5,0.0,0.0,0.0,0.0,0.0,0,34
R McLaren,18,372,558,14,15,3,116,69,11,354,59.0,9.46,39.86,25.29,31.18,220.0,4.0,158.0,150.0,8.8,182.0,3.0,126.0,120.0,9.1,156.0,7.0,88.0,84.0,11.14,3,61
R Ninan,2,36,65,3,0,0,8,3,5,36,6.0,10.83,21.67,12.0,22.22,0.0,0.0,0.0,0.0,0.0,49.0,3.0,30.0,30.0,9.8,16.0,0.0,6.0,6.0,16.0,2,31
R Parag,30,309,478,9,14,0,65,28,24,295,49.1,9.72,53.11,32.78,21.04,16.0,1.0,12.0,12.0,8.0,431.0,8.0,282.0,270.0,9.58,31.0,0.0,15.0,13.0,14.31,1,25
R Powell,2,21,35,1,2,1,4,2,2,18,3.0,11.67,35.0,18.0,19.05,0.0,0.0,0.0,0.0,0.0,21.0,1.0,14.0,12.0,10.5,14.0,0.0,7.0,6.0,14.0,1,18
R Rampaul,12,278,319,17,8,2,130,25,14,268,44.4,7.14,18.76,15.76,46.76,163.0,10.0,166.0,162.0,6.04,54.0,3.0,57.0,54.0,6.0,102.0,4.0,55.0,52.0,11.77,3,31
R Ravindra,2,12,7,0,0,0,5,0,0,12,2.0,3.5,999.0,999.0,41.67,0.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,12.0,3.5,0.0,0.0,0.0,0.0,0.0,0,3
R Sai Kishore,25,453,655,32,12,0,130,35,40,441,73.3,8.91,20.47,13.78,28.7,33.0,1.0,18.0,18.0,11.0,477.0,22.0,351.0,342.0,8.37,145.0,9.0,84.0,81.0,10.74,4,33
R Sanjay Yadav,1,14,23,0,2,0,6,3,1,12,2.0,11.5,999.0,999.0,42.86,8.0,0.0,6.0,6.0,8.0,15.0,0.0,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0,23
R Sathish,14,144,233,6,5,0,30,18,10,139,23.1,10.06,38.83,23.17,20.83,0.0,0.0,0.0,0.0,0.0,154.0,5.0,117.0,114.0,8.11,79.0,1.0,27.0,25.0,18.96,2,51
R Sharma,44,935,1100,42,7,0,334,70,45,928,154.4,7.11,26.19,22.1,35.72,101.0,2.0,90.0,90.0,6.73,769.0,32.0,689.0,684.0,6.75,230.0,8.0,156.0,154.0,8.96,3,13
R Shepherd,15,223,416,12,13,0,63,32,28,210,35.0,11.89,34.67,17.5,28.25,37.0,2.0,25.0,24.0,9.25,281.0,5.0,151.0,144.0,11.71,98.0,5.0,47.0,42.0,14.0,3,42
R Shukla,7,130,217,7,7,3,38,21,9,120,20.0,10.85,31.0,17.14,29.23,79.0,4.0,55.0,54.0,8.78,65.0,1.0,40.0,36.0,10.83,73.0,2.0,35.0,30.0,14.6,2,27
R Tewatia,52,866,1117,36,21,2,264,54,61,843,140.3,7.95,31.03,23.42,30.48,15.0,0.0,12.0,12.0,7.5,1047.0,32.0,808.0,786.0,7.99,55.0,4.0,46.0,45.0,7.33,3,18
R Vinay Kumar,104,2186,3041,127,48,11,763,296,100,2127,354.3,8.58,23.94,16.75,34.9,930.0,33.0,770.0,756.0,7.38,939.0,32.0,730.0,714.0,7.89,1172.0,62.0,686.0,657.0,10.7,5,40
RA Jadeja,225,4127,5242,179,64,7,1292,313,224,4056,676.0,7.75,29.28,22.66,31.31,199.0,6.0,147.0,144.0,8.29,4258.0,140.0,3438.0,3384.0,7.55,785.0,33.0,542.0,528.0,8.92,5,16
RA Shaikh,1,6,11,0,0,0,1,2,0,6,1.0,11.0,999.0,999.0,16.67,11.0,0.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11
RA Tripathi,1,6,12,0,0,0,0,2,0,6,1.0,12.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0,12
RD Chahar,78,1703,2174,76,32,1,576,140,98,1670,278.2,7.81,28.61,21.97,33.82,95.0,3.0,73.0,72.0,7.92,1856.0,58.0,1460.0,1434.0,7.77,223.0,15.0,170.0,164.0,8.16,4,31
RE van der Merwe,21,455,515,25,12,0,148,25,17,443,73.5,6.98,20.6,17.72,32.53,60.0,4.0,38.0,36.0,10.0,322.0,14.0,319.0,312.0,6.19,133.0,7.0,98.0,95.0,8.4,3,20
RG More,2,37,63,1,2,0,4,5,1,35,5.5,10.8,63.0,35.0,10.81,15.0,0.0,6.0,6.0,15.0,18.0,1.0,13.0,12.0,9.0,30.0,0.0,18.0,17.0,10.59,1,35
RG Sharma,32,349,462,16,10,0,88,29,14,339,56.3,8.18,28.88,21.19,25.21,68.0,2.0,53.0,50.0,8.16,322.0,7.0,246.0,240.0,8.05,72.0,7.0,50.0,49.0,8.82,4,7
